depth id strategy heuristic/moves solution_length visited processed max_depth solution_time(ms)
3 10 dfs lurd 19 132411 125806 20 246.355
3 10 dfs rdlu 3 6 4 3 6.891
3 10 dfs rdul 3 6 4 3 7.344
3 10 dfs uldr 19 98 84 20 6.917
3 10 dfs ulrd 19 132324 125711 20 235.587
4 1 astr hamm 4 8 5 4 6.354
4 1 astr manh 4 8 5 4 6.843
4 1 bfs drlu 4 88 39 4 5.2
4 1 bfs drul 4 88 39 4 5.39
4 1 bfs ludr 4 55 25 4 4.997
4 1 bfs lurd 4 87 42 4 5.155
4 1 bfs rdlu 4 120 56 4 5.181
4 1 bfs rdul 4 120 56 4 5.469
4 1 bfs uldr 4 55 25 4 5.065
4 1 bfs ulrd 4 87 42 4 4.984
4 1 dfs drlu 20 280 260 20 8.318
4 1 dfs drul 20 65522 62501 20 125.411
4 1 dfs ludr 18 265968 251215 20 454.627
4 1 dfs lurd 18 176 162 20 7.156
4 1 dfs rdlu 4 8 5 4 6.79
4 1 dfs rdul 4 8 5 4 6.956
4 1 dfs uldr 18 266119 251375 20 462.65
4 1 dfs ulrd 18 176 162 20 7.139
4 2 astr hamm 4 10 5 4 6.226
4 2 astr manh 4 10 5 4 7.008
4 2 bfs drlu 4 107 49 4 7.32
4 2 bfs drul 4 107 49 4 5.12
4 2 bfs ludr 4 67 30 4 4.933
4 2 bfs lurd 4 68 32 4 5.269
4 2 bfs rdlu 4 108 51 4 5.144
4 2 bfs rdul 4 108 51 4 5.129
4 2 bfs uldr 4 67 30 4 5.086
4 2 bfs ulrd 4 68 32 4 5.085
4 2 dfs drlu 18 203 183 20 8.034
4 2 dfs drul 18 65496 62476 20 123.446
4 2 dfs ludr 18 265923 251171 20 459.954
4 2 dfs lurd 18 253 238 20 7.991
4 2 dfs rdlu 20 22115 21349 20 48.626
4 2 dfs rdul 16 8721 8454 20 24.282
4 2 dfs uldr 18 266074 251331 20 454.511
4 2 dfs ulrd 18 253 238 20 8.092
4 3 astr hamm 4 11 5 4 6.281
4 3 astr manh 4 11 5 4 7.322
4 3 bfs drlu 4 113 53 4 5.3
4 3 bfs drul 4 113 53 4 5.117
4 3 bfs ludr 4 72 36 4 5.172
4 3 bfs lurd 4 110 56 4 5.221
4 3 bfs rdlu 4 151 73 4 5.666
4 3 bfs rdul 4 151 73 4 5.283
4 3 bfs uldr 4 72 36 4 5.047
4 3 bfs ulrd 4 110 56 4 5.138
4 3 dfs drlu 18 248078 234922 20 481.665
4 3 dfs drul 20 261999 247904 20 448.793
4 3 dfs ludr 16 1246 1211 20 10.015
4 3 dfs lurd 18 173553 164665 20 317.716
4 3 dfs rdlu 4 11 5 4 6.71
4 3 dfs rdul 4 11 5 4 6.865
4 3 dfs uldr 16 266807 252010 20 462.601
4 3 dfs ulrd 16 544 526 20 9.194
4 4 astr hamm 4 11 5 4 6.227
4 4 astr manh 4 11 5 4 6.545
4 4 bfs drlu 4 96 48 4 5.528
4 4 bfs drul 4 121 61 4 5.284
4 4 bfs ludr 4 102 48 4 5.517
4 4 bfs lurd 4 102 48 4 5.526
4 4 bfs rdlu 4 96 48 4 5.189
4 4 bfs rdul 4 121 61 4 5.121
4 4 bfs uldr 4 127 61 4 5.143
4 4 bfs ulrd 4 127 61 4 5.486
